ticker,direction,entry_date,entry_price,shares,exit_date,exit_price,pnl,pnl_percent,duration_days,entry_commission,exit_commission,status,signal_confidence,entry_reason,exit_reason
AAPL,LONG,2025-11-11,275.25,3.6330608537693005,2026-01-06,262.36,-49.75990917347849,-4.968538110182575,56,1.0,0.9531698455949138,CLOSED,0.6545810702710142,Signal: BUY (65.5%),Stop Loss
AAPL,LONG,2025-11-11,275.25,3.6330608537693005,2026-01-06,262.36,-49.75990917347849,-4.968538110182575,56,1.0,0.9531698455949138,CLOSED,0.6545810702710142,Signal: BUY (65.5%),Stop Loss
AAPL,LONG,2026-01-28,256.44,3.8805243627161596,2026-02-04,276.49,74.70244169952548,7.495621721060583,7,0.995121667574932,1.0729261810473911,CLOSED,0.6536599590306991,Signal: BUY (65.4%),Take Profit
AAPL,LONG,2026-01-28,256.44,3.8805243627161596,2026-02-04,276.49,74.70244169952548,7.495621721060583,7,0.995121667574932,1.0729261810473911,CLOSED,0.6536599590306991,Signal: BUY (65.4%),Take Profit
AAPL,LONG,2026-02-04,276.49,3.626515657482425,2026-02-12,261.73,-56.455165990195724,-5.621908198861228,8,1.0026953141373156,0.9491679430328751,CLOSED,0.8620815200238213,Signal: BUY (86.2%),Stop Loss
AAPL,LONG,2026-02-04,276.49,3.626515657482425,2026-02-12,261.73,-56.455165990195724,-5.621908198861228,8,1.0026953141373156,0.9491679430328751,CLOSED,0.8620815200238213,Signal: BUY (86.2%),Stop Loss
AAPL,LONG,2026-05-22,308.82,3.2288951191670057,2026-06-09,290.55,-61.89486812854375,-6.197896665784291,18,0.9971473907011547,0.9381554768739735,CLOSED,0.6720000000000002,Signal: BUY (67.2%),Stop Loss
AAPL,LONG,2026-05-22,308.82,3.2288951191670057,2026-06-09,290.55,-61.89486812854375,-6.197896665784291,18,0.9971473907011547,0.9381554768739735,CLOSED,0.6720000000000002,Signal: BUY (67.2%),Stop Loss
AAPL,LONG,2026-06-09,290.55,3.410960829570398,2026-06-25,275.15,-55.42316758731636,-5.583966160550974,16,0.9910546690316792,0.9385258722562949,CLOSED,0.6984,Signal: BUY (69.8%),Stop Loss
AAPL,LONG,2026-06-09,290.55,3.410960829570398,2026-06-25,275.15,-55.42316758731636,-5.583966160550974,16,0.9910546690316792,0.9385258722562949,CLOSED,0.6984,Signal: BUY (69.8%),Stop Loss
AAPL,LONG,2026-06-30,289.36,3.4061682032762364,2026-07-02,308.63,62.58157949131726,6.34002514337423,2,0.9856088313000119,1.051245692577145,CLOSED,0.8939832192807563,Signal: BUY (89.4%),Take Profit
AAPL,LONG,2026-06-30,289.36,3.4061682032762364,2026-07-02,308.63,62.58157949131726,6.34002514337423,2,0.9856088313000119,1.051245692577145,CLOSED,0.8939832192807563,Signal: BUY (89.4%),Take Profit
AAPL,LONG,2026-07-02,308.63,3.2141037228245395,2026-07-15,327.5,57.58325554789849,5.79625167439522,13,0.9919688319753376,1.0526189692250367,CLOSED,0.7519719036005883,Signal: BUY (75.2%),Take Profit
AAPL,LONG,2026-07-02,308.63,3.2141037228245395,2026-07-15,327.5,57.58325554789849,5.79625167439522,13,0.9919688319753376,1.0526189692250367,CLOSED,0.7519719036005883,Signal: BUY (75.2%),Take Profit
AAPL,LONG,2026-07-23,321.66,3.1021245629552547,2026-08-03,303.42,-59.491366061021836,-5.953148248155641,11,0.9978293869201873,0.9412466348918834,CLOSED,0.7318520724648029,Signal: BUY (73.2%),Stop Loss
AAPL,LONG,2026-07-23,321.66,3.1021245629552547,2026-08-03,303.42,-59.491366061021836,-5.953148248155641,11,0.9978293869201873,0.9412466348918834,CLOSED,0.7318520724648029,Signal: BUY (73.2%),Stop Loss
AAPL,LONG,2026-08-07,313.33,3.165918373967305,2026-08-13,305.07,-29.087191652661886,-2.9278521817694614,6,0.9919772041151758,0.9658267183462058,CLOSED,0.7793531528699115,Signal: BUY (77.9%),End of backtest
AAPL,LONG,2026-08-07,313.33,3.165918373967305,2026-08-13,305.07,-29.087191652661886,-2.9278521817694614,6,0.9919772041151758,0.9658267183462058,CLOSED,0.7793531528699115,Signal: BUY (77.9%),End of backtest
