ticker,direction,entry_date,entry_price,shares,exit_date,exit_price,pnl,pnl_percent,duration_days,entry_commission,exit_commission,status,signal_confidence,entry_reason,exit_reason
M44U.SI,LONG,2024-08-28,1.2326421737670898,811.2654436801316,2024-09-12,1.3148183822631836,63.56671816816606,6.347151090181334,15,1.0,1.0666667182455347,CLOSED,0.6545848592240856,Signal: BUY (65.5%),Take Profit
M44U.SI,LONG,2024-08-28,1.2326421737670898,811.2654436801316,2024-09-12,1.3148183822631836,63.56671816816606,6.347151090181334,15,1.0,1.0666667182455347,CLOSED,0.6545848592240856,Signal: BUY (65.5%),Take Profit
M44U.SI,LONG,2024-09-13,1.3239489793777466,760.1954613279458,2024-10-24,1.2600343227386475,-51.534130457001424,-5.112666651034357,41,1.006460005152729,0.957872373263352,CLOSED,0.6720000000000002,Signal: BUY (67.2%),Stop Loss
M44U.SI,LONG,2024-09-13,1.3239489793777466,760.1954613279458,2024-10-24,1.2600343227386475,-51.534130457001424,-5.112666651034357,41,1.006460005152729,0.957872373263352,CLOSED,0.6720000000000002,Signal: BUY (67.2%),Stop Loss
M44U.SI,LONG,2024-10-29,1.242023229598999,806.268985040855,2024-11-08,1.1864101886749268,-47.77602588197374,-4.763754753574536,10,1.0014048087259497,0.9565657386650624,CLOSED,0.795051572643067,Signal: BUY (79.5%),Stop Loss
M44U.SI,LONG,2024-10-29,1.242023229598999,806.268985040855,2024-11-08,1.1864101886749268,-47.77602588197374,-4.763754753574536,10,1.0014048087259497,0.9565657386650624,CLOSED,0.795051572643067,Signal: BUY (79.5%),Stop Loss
M44U.SI,LONG,2024-11-25,1.1956790685653687,833.6058821043333,2025-02-03,1.1396452188491821,-49.63025681427814,-4.9718746621249235,70,0.9967251046651218,0.9500149579447584,CLOSED,0.6734949367988408,Signal: BUY (67.3%),Stop Loss
M44U.SI,LONG,2024-11-25,1.1956790685653687,833.6058821043333,2025-02-03,1.1396452188491821,-49.63025681427814,-4.9718746621249235,70,0.9967251046651218,0.9500149579447584,CLOSED,0.6734949367988408,Signal: BUY (67.3%),Stop Loss
M44U.SI,LONG,2025-02-17,1.1584820747375488,856.1715693456264,2025-03-20,1.2432492971420288,69.49084465840019,6.995624923578328,31,0.9918594159868244,1.0644347018219378,CLOSED,0.6714108708461309,Signal: BUY (67.1%),Take Profit
M44U.SI,LONG,2025-02-17,1.1584820747375488,856.1715693456264,2025-03-20,1.2432492971420288,69.49084465840019,6.995624923578328,31,0.9918594159868244,1.0644347018219378,CLOSED,0.6714108708461309,Signal: BUY (67.1%),Take Profit
M44U.SI,LONG,2025-03-20,1.2432492971420288,803.4682323608338,2025-04-07,1.1302266120910645,-93.6706557145875,-9.363229623590772,18,0.9989113151585549,0.9081011781839814,CLOSED,0.8148951212272043,Signal: BUY (81.5%),Stop Loss
M44U.SI,LONG,2025-03-20,1.2432492971420288,803.4682323608338,2025-04-07,1.1302266120910645,-93.6706557145875,-9.363229623590772,18,0.9989113151585549,0.9081011781839814,CLOSED,0.8148951212272043,Signal: BUY (81.5%),Stop Loss
M44U.SI,LONG,2025-04-14,1.0360409021377563,955.2128667601355,2025-04-17,1.111389398574829,68.89697370715544,6.95139756108042,3,0.9896396002117632,1.0616134534994854,CLOSED,0.6675367843386252,Signal: BUY (66.8%),Take Profit
M44U.SI,LONG,2025-04-14,1.0360409021377563,955.2128667601355,2025-04-17,1.111389398574829,68.89697370715544,6.95139756108042,3,0.9896396002117632,1.0616134534994854,CLOSED,0.6675367843386252,Signal: BUY (66.8%),Take Profit
M44U.SI,LONG,2025-04-17,1.111389398574829,896.7440768403746,2025-04-25,1.0642967224121094,-45.15662887456915,-4.52413746544865,8,0.9966318602351644,0.9544017818236835,CLOSED,0.7071811205667946,Signal: BUY (70.7%),Stop Loss
M44U.SI,LONG,2025-04-17,1.111389398574829,896.7440768403746,2025-04-25,1.0642967224121094,-45.15662887456915,-4.52413746544865,8,0.9966318602351644,0.9544017818236835,CLOSED,0.7071811205667946,Signal: BUY (70.7%),Stop Loss
M44U.SI,LONG,2025-06-18,1.102376103401184,900.0682670537872,2025-08-25,1.18740713596344,73.4422922758281,7.390775818897896,68,0.9922137490298103,1.068747483153914,CLOSED,0.688844817212445,Signal: BUY (68.9%),Take Profit
M44U.SI,LONG,2025-06-18,1.102376103401184,900.0682670537872,2025-08-25,1.18740713596344,73.4422922758281,7.390775818897896,68,0.9922137490298103,1.068747483153914,CLOSED,0.688844817212445,Signal: BUY (68.9%),Take Profit
M44U.SI,LONG,2025-09-09,1.226338505744934,815.1591274643721,2025-10-29,1.3236669301986694,76.22016324589913,7.61318109197283,50,0.9996610263190023,1.0789991798741911,CLOSED,0.9173542051051409,Signal: BUY (91.7%),Take Profit
M44U.SI,LONG,2025-09-09,1.226338505744934,815.1591274643721,2025-10-29,1.3236669301986694,76.22016324589913,7.61318109197283,50,0.9996610263190023,1.0789991798741911,CLOSED,0.9173542051051409,Signal: BUY (91.7%),Take Profit
M44U.SI,LONG,2025-10-29,1.3236669301986694,761.0577500056626,2025-11-18,1.2627816200256348,-49.289892239895494,-4.885517614096854,20,1.0073869756539018,0.9610497384852151,CLOSED,0.6875367201736406,Signal: BUY (68.8%),Stop Loss
