Strategy,Total Return %,Annualized Return %,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max Drawdown %,Win Rate %,Profit Factor,Num Trades,Avg Trade Duration
CRPU.SI,1.4733467839233163,0.902785499894132,-0.8654869398752641,-1.0209448458485744,0.9848078412206164,-0.9167123393079182,71.42857142857143,2.2519406574990013,14,91.57142857142857
J69U.SI,0.3573403260987834,0.21942681093047867,-1.5829360883760808,-2.390912785218957,0.24385155996562757,-0.899837634671717,42.857142857142854,1.169422548829375,14,86.0
BUOU.SI,1.2923437126805037,0.7921503933231655,-0.7895504335717831,-0.851814054368518,0.4810314938205292,-1.6467744908584165,53.333333333333336,1.2986307281241274,30,31.666666666666668
M44U.SI,0.6134329595217423,0.3764966689911109,-1.0597265596552794,-1.057770181611917,0.2112346124944079,-1.7823625803800411,47.05882352941176,1.091863400253833,34,30.941176470588236
