Ticker,Signal,Confidence %,Last Close,ATR,Entry Low,Entry High,RSI,MACD,Delta,Cumulative Delta,EMA 12,EMA 21,Volume
CRPU.SI,HOLD,20.00,0.69,0.0096,0.69,0.70,66.67,0.0031,2128900,-126759100,0.67,0.66,2128900
BUOU.SI,HOLD,2.00,0.95,0.0147,0.95,0.97,45.00,0.0001,11179700,-2338587086,0.94,0.92,11179700
M44U.SI,HOLD,20.00,1.31,0.0304,1.29,1.33,67.84,0.0219,-19585200,-3290648468,1.24,1.21,19585200
ME8U.SI,HOLD,32.00,2.04,0.0301,2.02,2.06,32.02,-0.0070,-14112200,-1172715824,2.08,2.05,14112200
