Ticker,Signal,Confidence %,Last Close,ATR,Entry Low,Entry High,RSI,MACD,Delta,Cumulative Delta,EMA 12,EMA 21,Volume
CRPU.SI,HOLD,16.00,0.69,0.0097,0.69,0.70,66.67,0.0031,-471100,-128344200,0.67,0.66,471100
BUOU.SI,HOLD,8.00,0.95,0.0147,0.94,0.96,42.86,-0.0005,22776700,-2303875686,0.94,0.92,22776700
M44U.SI,HOLD,14.00,1.31,0.0290,1.30,1.33,72.30,0.0207,19638100,-3285589768,1.24,1.21,19638100
ME8U.SI,HOLD,39.00,2.03,0.0275,2.02,2.05,30.60,-0.0120,-5489200,-1181069124,2.08,2.05,5489200
