Ticker,Name,Signal,Confidence %,Last Close,ATR,Entry Low,Entry High,Timeframe
CRPU.SI,Sasseur Reit,HOLD,57.36,0.69,0.0091,0.69,0.70,1d
J69U.SI,FRASERS CENTREPOINT TRUST,HOLD,57.32,2.30,0.0341,2.28,2.33,1d
BUOU.SI,FRASERS LOGISTICS & COM TRUST,BUY,92.40,0.96,0.0140,0.96,0.98,1d
M44U.SI,Mapletree Log Tr,HOLD,46.18,1.32,0.0271,1.31,1.34,1d
ME8U.SI,Mapletree Ind Tr,HOLD,48.40,2.05,0.0283,2.04,2.07,1d
JYEU.SI,Lendlease Reit,HOLD,55.14,0.64,0.0130,0.63,0.65,1d
