Ticker,Name,Signal,Confidence %,Last Close,ATR,Entry Low,Entry High,Timeframe
CRPU.SI,Sasseur Reit,HOLD,44.70,0.69,0.0065,0.68,0.69,1d
J69U.SI,Frasers Cpt Tr,BUY,73.70,2.24,0.0263,2.23,2.26,1d
BUOU.SI,Frasers L&C Tr,HOLD,35.84,1.00,0.0195,0.99,1.02,1d
M44U.SI,Mapletree Log Tr,HOLD,38.71,1.30,0.0174,1.29,1.31,1d
ME8U.SI,Mapletree Ind Tr,HOLD,38.56,2.03,0.0219,2.02,2.05,1d
JYEU.SI,Lendlease Reit,BUY,78.44,0.64,0.0119,0.63,0.65,1d
