Ticker,Name,Signal,Confidence %,Last Close,ATR,Entry Low,Entry High,Timeframe
CRPU.SI,Sasseur Reit,HOLD,47.11,0.69,0.0067,0.68,0.69,1d
J69U.SI,Frasers Cpt Tr,HOLD,50.10,2.25,0.0286,2.24,2.27,1d
BUOU.SI,Frasers L&C Tr,BUY,71.18,1.02,0.0183,1.01,1.03,1d
M44U.SI,Mapletree Log Tr,BUY,99.34,1.37,0.0168,1.36,1.38,1d
JYEU.SI,Lendlease Reit,BUY,88.53,0.64,0.0116,0.63,0.65,1d
