Ticker,Name,Signal,Confidence %,Last Close,ATR,Entry Low,Entry High,Timeframe
CRPU.SI,Sasseur Reit,HOLD,54.98,0.68,0.0079,0.67,0.68,1d
J69U.SI,Frasers Cpt Tr,HOLD,62.66,2.25,0.0312,2.23,2.27,1d
BUOU.SI,Frasers L&C Tr,HOLD,44.74,0.97,0.0189,0.96,0.99,1d
M44U.SI,Mapletree Log Tr,BUY,72.84,1.24,0.0229,1.23,1.26,1d
ME8U.SI,Mapletree Ind Tr,HOLD,51.09,2.00,0.0246,1.99,2.02,1d
JYEU.SI,Lendlease Reit,HOLD,53.76,0.56,0.0137,0.55,0.57,1d
